BoosterMotorEncosTest/MotorCmdKd#0,BoosterMotorEncosTest/MotorCmdKp#0,BoosterMotorEncosTest/MotorCmdPos#0,BoosterMotorEncosTest/MotorCmdTor#0,BoosterMotorEncosTest/MotorCmdVel#0,BoosterMotorEncosTest/MotorFbPos#0,BoosterMotorEncosTest/MotorFbTemp#0,BoosterMotorEncosTest/MotorFbTor#0,BoosterMotorEncosTest/MotorFbVel#0,BoosterMotorEncosTest/TotalLostFrameCnt,BoosterMotorEncosTest/TotalRecvFrameCnt,BoosterMotorEncosTest/TotalSendFrameCnt,BoosterMotorEncosTest/t
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,502,502,0
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.2490842491,-0.0043956046,0,503,503,1
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.0146520147,-0.0043956046,0,504,504,2
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.1025641039,-0.0043956046,0,505,505,3
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.0146520147,0.0043956046,0,506,506,4
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.0146520147,0.0131868133,0,507,507,5
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,0.1318681389,-0.0219780225,0,508,508,6
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.0146520147,-0.0043956046,0,509,509,7
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.1904761940,0.0043956046,0,510,510,8
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,0.1318681389,-0.0131868133,0,511,511,9
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,0.1318681389,0.0043956046,0,512,512,10
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.2490842491,-0.0131868133,0,513,513,11
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,0.0732600763,-0.0131868133,0,514,514,12
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.0146520147,-0.0131868133,0,515,515,13
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.1025641039,0.0131868133,0,516,516,14
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.1025641039,-0.0131868133,0,517,517,15
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.5714285970,-0.0131868133,0,518,518,16
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.1611721665,0.0131868133,0,519,519,17
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028610667,27.0000000000,-0.1025641039,-0.0043956046,0,520,520,18
